Transaction_Date,Time,Amount,Merchant_City,Merchant_State,Is_Fraud?
4/10/2002,6:20:00,2756880.0,La Verne,CA,No
5/10/2002,9:34:00,1275120.0,La Verne,CA,No
5/10/2002,10:38:00,404880.03,La Verne,CA,No
6/10/2002,6:14:00,3345360.0,ONLINE,"",No
7/10/2002,6:24:00,3215040.2,La Verne,CA,No
8/10/2002,6:24:00,2400000.0,Mira Loma,CA,No
8/10/2002,6:26:00,3712800.0,La Verne,CA,No
8/10/2002,8:24:00,653280.0,La Verne,CA,No
9/10/2002,6:10:00,2838000.0,Mira Loma,CA,No
9/10/2002,6:44:00,744240.0,Monterey Park,CA,No
9/10/2002,8:16:00,1274160.0,ONLINE,"",No
10/10/2002,6:24:00,3409440.0,La Verne,CA,No
11/10/2002,5:52:00,4144080.0,La Verne,CA,No
11/10/2002,6:08:00,3827040.2,La Verne,CA,No
11/10/2002,6:57:00,904559.94,Monterey Park,CA,No
11/10/2002,20:00:00,2099280.0,La Verne,CA,No
12/10/2002,6:29:00,4055040.2,La Verne,CA,No
13/10/2002,6:21:00,3249840.0,La Verne,CA,No
13/10/2002,6:33:00,720000.0,La Verne,CA,No
13/10/2002,13:00:00,1406880.0,La Verne,CA,No
